id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
40,8/13/2013,470.94,494.66,468.05,489.57,31497900,0,1,62.23414039,65.36870914,61.85223045,64.69607192,220485300,0.030819069,3.08190693,4.08190693
41,8/26/2013,500.75,510.2,500.5,502.97,11820200,0,1,66.17349513,67.42230098,66.14045794,66.4668654,82741400,-0.005007253,-0.500725257,0.499274743
42,8/30/2013,492,492.95,486.5,487.216,9724900,0,1,65.01719342,65.14273475,64.2903752,64.38499372,68074300,0.000711889,0.071188854,1.071188854
43,9/16/2013,461,461.6099,447.22,450.12,19418100,0,1,60.92058164,61.00117917,59.09957163,59.48280306,135926700,-0.017770053,-1.777005251,-0.777005251
44,9/18/2013,463.18,466.35,460.66,464.68,16316500,0,1,61.20866595,61.62757755,60.87565106,61.4068891,114215500,0.033976248,3.397624788,4.397624788
45,9/24/2013,494.88,495.47,487.82,489.1,13012300,0,1,65.39778187,65.47574964,64.46481158,64.633962,91086100,-0.002459182,-0.245918162,0.754081838
46,10/4/2013,483.86,484.6,478.6,483.03,9245300,0,1,63.94150246,64.03929255,63.24639994,63.83181898,64717100,-0.013557318,-1.355731789,-0.355731789
47,10/8/2013,489.94,490.64,480.54,480.94,10389900,0,1,64.74496696,64.8374711,63.50276855,63.55562806,72729300,0.006946728,0.694672805,1.694672805
48,10/11/2013,486.99,493.84,485.16,492.812,9562100,0,1,64.3551281,65.26034715,64.11329586,65.12449822,66934700,-0.008812994,-0.881299357,0.118700643
49,10/30/2013,519.61,527.52,517.02,524.896,12648700,0,1,68.66582088,69.71111763,68.32355558,69.36435927,88540900,-0.03106644,-3.106644041,-2.106644041
50,10/31/2013,525,527.49,521.27,522.702,9846300,0,1,69.37810274,69.70715317,68.88518784,69.07442487,68924100,0.010373164,1.037316449,2.037316449
51,11/5/2013,524.58,528.885,523,525.449,9471900,0,1,69.32260026,69.8915007,69.1138052,69.43743753,66303300,0.006678181,0.667818077,1.667818077
52,11/21/2013,517.6,521.21,513.67,521.136,9358100,0,1,68.8006868,69.28053703,68.27830137,69.27070077,65506700,-0.003139264,-0.313926391,0.686073609
53,12/6/2013,565.79,566.75,559.57,560.02,12298300,0,1,75.20622215,75.33382775,74.37944419,74.43925932,86088100,-0.011979394,-1.197939405,-0.197939405
54,12/18/2013,549.7,551.45,538.8,550.77,20209400,0,1,73.0674991,73.30011348,71.61864383,73.20972618,141465800,-0.010992965,-1.099296522,-0.099296522
55,12/20/2013,545.43,551.61,544.8175,549.02,15586200,0,1,72.49992002,73.32138108,72.41850499,72.9771118,109103400,-0.007406733,-0.740673339,0.259326661
56,12/30/2013,557.46,560.09,552.321,554.52,9058200,0,1,74.09897771,74.44856389,73.41588898,73.70818556,63407400,-0.011280196,-1.128019581,-0.128019581
57,1/10/2014,539.83,540.8,531.11,532.94,10892000,0,1,71.75555401,71.88448884,70.5964698,70.83971798,76244000,-0.012746891,-1.2746891,-0.2746891
58,1/23/2014,549.94,556.5,544.8064,556.18,14401400,0,1,73.0994005,73.97137211,72.41702955,73.92883691,100809800,-0.001769239,-0.176923941,0.823076059
59,2/5/2014,506.56,515.28,506.2519,512.59,11726600,0,1,67.33322238,68.4923066,67.29226896,68.13474507,82086200,0.001403578,0.140357814,1.140357814
60,2/12/2014,536.95,539.56,533.24,535.92,11003600,0,1,71.79748375,72.14647608,71.30140652,71.6597588,77025200,0.011948512,1.194851209,2.194851209
61,3/6/2014,532.79,534.4399,528.1,530.75,6624600,0,1,71.24123543,71.4618494,70.61411894,70.96845982,46372200,0.003522188,0.35221879,1.35221879
62,3/12/2014,534.51,537.35,532,536.61,7118800,0,1,71.47122271,71.85096916,71.13560174,71.75202114,49831600,-0.001755533,-0.175553273,0.824446727
63,4/2/2014,542.38,543.48,540.26,542.55,6443600,0,1,72.52354825,72.67063314,72.24007555,72.54627955,45105200,0.008591193,0.85911931,1.85911931
64,4/17/2014,520,527.76,519.2,524.94,10154800,0,1,69.53103929,70.56865634,69.42406846,70.19158416,71083600,0.003764115,0.376411543,1.376411543
